"","date","Total_Volume","average_price","sold total volume"
"1",2019-01-01,245223503,1.2425,190208128.3
"2",2019-02-01,198446917,1.16625,201786525.18
"3",2019-03-01,275296783,1.196,240063266.72
"4",2019-04-01,223004375,1.39,175605245.39
"5",2019-05-01,187136580,1.52,176551186.41
"6",2019-06-01,217616570,1.515,209313336.15
"7",2019-07-01,210722830,1.74125,147366782.01
"8",2019-08-01,168550112,1.6025,155307369.85
"9",2019-09-01,231228502,1.438,201224483.69
"10",2019-10-01,194538255,1.27625,162099280.81
"11",2019-11-01,177232182,1.2725,154546826.57
"12",2019-12-01,236365074,1.254,186505017.5
"13",2020-01-01,240867757,1.185,192690835.57
"14",2020-02-01,185780935,1.18875,206247688.13
"15",2020-03-01,242346301,1.367,244539734.65
"16",2020-04-01,185931191,1.37625,209065348.12
"17",2020-05-01,284478216,1.334,297956862.75
"18",2020-06-01,251518443,1.3275,222200764.9
"19",2020-07-01,222554123,1.31,219400469.89
"20",2020-08-01,262143865,1.282,262733293.26
"21",2020-09-01,204986383,1.2625,201646123.28
"22",2020-10-01,220209082,1.21125,189951627
"23",2020-11-01,252768052,1.164,221843358.41
